FROM,TO,TIMING
 HADPASAR,DEVACHI URULI,5.50AM 6.00AM 6.25AM 6.50AM 7.00AM 7.15AM 7.25AM 7.40AM 7.50AM 8.05AM 8.20AM 8.35AM 8.50AM 9.00AM 9.15AM 9.30AM 9.45AM 10.00AM 10.10AM 10.25AM 10.40AM 10.55AM 11.10AM 11.20AM 11.35AM 11.50AM 12.05PM 12.20PM 12.35PM 1.15PM 1.45PM 2.15PM 2.30PM 2.45PM 2.55PM 3.10PM 3.20PM 3.30PM 3.45PM 4.00PM 4.15PM 4.30PM 4.40PM 4.55PM 5.10PM 5.25PM 5.40PM 6.00PM 6.15PM 6.30PM 6.45PM 7.00PM 7.20PM 7.50PM 8.20PM 9.00PM 9.35PM 10.05PM
 DEVACHI URULI,HADAPSAR, 6.20AM 6.30AM 6.55AM 7.20AM 7.30AM 7.45AM 8.00AM 8.15AM 8.25AM 8.40AM 8.55AM 9.10AM 9.25AM 9.35AM 9.50AM 10.05AM 10.20AM 10.35AM 10.45AM 11.00AM 11.15AM 11.30AM 11.45AM 11.55AM 12.25PM 12.40PM 12.55PM 1.10PM 1.40PM 1.50PM 2.15PM 2.40PM 3.00PM 3.15PM 3.25PM 3.40PM 3.50PM 4.05PM 4.20PM 4.35PM 4.50PM 5.05PM 5.20PM 5.35PM 5.50PM 6.05PM 6.20PM 6.40PM 6.55PM 7.10PM 7.25PM 7.40PM 8.30PM 9.00PM 9.25PM 9.35PM 10.05PM 10.40PM
 HADAPSAR,WADAKIGAON, 5.45AM 7.15AM 8.00AM 8.45AM 9.30AM 10.15AM 11.00AM 12.15PM 2.15PM 3.00PM 3.45PM 4.30PM 5.20PM 6.05PM 6.50PM 8.45PM
 WADAKIGAON,HADAPSAR, 6.30AM 8.00AM 8.45AM 9.30AM 10.15AM 11.00AM 11.45AM 1.00PM 3.00PM 3.45PM 4.30PM 5.20PM 6.05PM 6.50PM 7.35PM 9.30PM
 HADAPSAR,UNDRI WADACHI WADI, 5.50AM 7.20AM 8.05AM 8.50AM 9.35AM 10.20AM 11.05AM 12.20PM 2.25PM 3.25PM 4.00PM 4.55PM 5.30PM 6.30PM 7.00PM 9.00PM
 UNDRI WADACHI WADI,HADAPSAR, 6.35AM 8.05AM 8.50AM 9.35AM 10.20AM 11.05AM 11.50AM 1.05PM 3.10PM 4.10PM 4.45PM 5.40PM 6.15PM 7.15PM 7.45PM 9.45PM
 HADAPSAR,KHAMGAON, 5.45AM 2.30PM
 KHAMGAON,HADAPSAR, 12.45PM 8.00PM
 URULI KANCHAN,KHAMGAON, 8.35AM 10.20AM 12.00PM 4.50PM 7.05PM
 KHAMGAON,URULI KANCHAN,7.15AM 9.25AM 11.10AM 4.00PM 5.45PM
 HADAPSAR,HOLAKAR WADI, 5.45AM 7.15AM 8.00AM 8.45AM 9.30AM 10.15AM 11.00AM 12.15PM 2.00PM 2.45PM 3.30PM 4.15PM 5.00PM 5.45PM 6.30PM 7.15PM 8.30PM
 HOLAKARWADI,HADAPSAR, 6.30AM 8.00AM 8.45AM 9.30AM 10.15AM 11.00AM 11.45AM 1.00PM 2.45PM 3.30PM 4.15PM 5.00PM 5.45PM 6.30PM 7.15PM 8.00PM 9.15PM
 SWARGATE,JAGADANBA BHAVAN PISOLI, 8.20AM 11.20AM 2.45PM 5.15PM
 JAGADANBA BHAVAN PISOLI,SWARGATE, 9.35AM 12.35PM 4.00PM 6.25PM
SHEWALEWADI,KOTHRUD DEPO, 5.35AM 6.35AM 7.05AM 7.30AM 7.55AM 8.30AM 9.30AM 10.00AM 10.30AM 10.55AM 11.25AM 12.00PM 12.30PM 1.30PM 2.00PM 2.30PM 3.00PM 3.30PM 4.00PM 4.30PM 5.05PM 5.35PM 6.05PM 6.35PM 7.35PM
 KOTHRUD DEPO,SHEWALEWADI, 7.15AM 8.15AM 8.45AM 9.15AM 9.45AM 10.20AM 11.10AM 11.40AM 12.10PM 12.35PM 1.05PM 1.40PM 2.10PM 3.15PM 3.45PM 4.15PM 4.45PM 5.15PM 5.45PM 6.15PM 6.45PM 7.20PM 7.50PM 8.20PM 9.10PM
 SHEWALEWADI,KOTHRUD DEPO, 5.20AM 5.40AM 6.00AM 6.20AM 6.40AM 7.00AM 7.20AM 7.40AM 7.55AM 8.10AM 8.20AM 8.30AM 8.40AM 9.00AM 9.20AM 9.40AM 10.00AM 10.20AM 10.40AM 10.55AM 11.10AM 11.30AM 11.50AM 12.10PM 12.30PM 12.50PM 1.10PM 1.30PM 1.50PM 2.10PM 2.25PM 2.40PM 2.55PM 3.15PM 3.35PM 3.55PM 4.15PM 4.35PM 4.55PM 5.15PM 5.35PM 5.55PM 6.15PM 6.35PM 6.55PM 7.15PM 7.35PM 7.55PM 8.35PM
 KOTHRUD DEPO,SHEWALEWADI, 6.50AM 7.10AM 7.30AM 7.50AM 8.10AM 8.30AM 8.50AM 9.10AM 9.25AM 9.40AM 9.50AM 10.00AM 10.10AM 10.30AM 10.50AM 11.10AM 11.30AM 11.50AM 12.10PM 12.25PM 12.40PM 1.00PM 1.20PM 1.40PM 2.00PM 2.20PM 2.40PM 3.00PM 3.20PM 3.40PM 3.55PM 4.10PM 4.25PM 4.50PM 5.10PM 5.30PM 5.50PM 6.10PM 6.30PM 6.50PM 7.10PM 7.30PM 7.40PM 8.10PM 8.30PM 8.50PM 9.10PM 9.30PM 10.10PM
 SHEWALEWADI,ALANDI, 5.40AM 6.50AM 8.30AM 10.00AM 11.10AM 12.35PM 2.20PM 3.30PM 5.15PM 6.55PM 8.00PM
 ALANDI,SHEWALEWADI,5.50AM 7.30AM 8.35AM 10.30AM 12.05PM 1.25PM
 BHEKRAINAGAR,ALANDI,4.45AM 5.10AM 5.35AM 6.00AM 6.25AM 6.50AM 7.15AM 7.40AM 8.05AM 8.30AM 8.50AM 9.20AM 9.50AM 10.15AM 10.45AM 11.10AM 11.35AM 12.00PM 12.30PM 1.00PM 1.30PM 2.00PM 2.30PM 2.55PM 3.20PM 3.45PM 4.35PM 4.50PM 5.00PM 5.25PM 5.45PM 6.05PM 6.25PM 6.45PM 7.05PM 7.30PM 7.55PM 8.20PM 8.45PM 9.10PM 9.35PM 10.00PM
 ALANDI,BHEKRAINAGAR, 6.15AM 6.45AM 7.15AM 7.45AM 8.10AM 8.45AM 9.05AM 9.30AM 10.00AM 10.20AM 10.55AM 11.25AM 11.55AM 12.20PM 12.45PM 1.05PM 1.40PM 2.05PM 2.25PM 3.05PM 3.30PM 4.05PM 4.30PM 4.55PM 5.15PM 5.45PM 6.10PM 6.35PM 7.05PM 7.30PM 7.45PM 8.05PM 8.25PM 8.45PM 9.15PM 9.35PM 10.00PM 10.25PM 10.55PM 11.15PM 11.35PM 12.00PM
 SHEWALEWADI,WARAJE MALAWADI ,5.00AM 5.25AM 5.50AM 6.20AM 6.45AM 7.15AM 7.40AM 8.05AM 8.55AM 9.20AM 9.45AM 10.15AM 10.40AM 11.10AM 11.35AM 12.15PM 12.50PM 1.15PM 1.40PM 2.10PM 2.40PM 3.10PM 3.40PM 4.10PM 4.50PM 5.20PM 5.50PM 6.20PM 6.50PM 7.20PM 7.55PM 8.30PM
WARAJE MALAWADI,SHEWALWADI, 6.45AM 7.10AM 7.35AM 8.05AM 8.30AM 9.00AM 9.25AM 9.50AM 10.40AM 11.05AM 11.30AM 12.00PM 12.25PM 12.55PM 1.20PM 1.55PM 2.35PM 3.00PM 3.30PM 4.00PM 4.30PM 5.00PM 5.30PM 6.00PM 6.35PM 7.05PM 7.35PM 8.05PM 8.35PM 9.05PM 9.35PM 10.10PM
 STATION,SHEWALEWADI,7.30AM 7.50AM 8.10AM 8.30AM 8.50AM 9.10AM 9.30AM 9.50AM 10.10AM 10.30AM 10.50AM 11.10AM 12.00PM 12.20PM 12.40PM 1.00PM 1.20PM 1.40PM 3.00PM 3.40PM 4.00PM 4.20PM 4.40PM 5.00PM 5.20PM 5.40PM 6.00PM 6.20PM 6.40PM 7.00PM
SHEWALEWADI,STATION ,  8.30AM 8.50AM 9.10AM 9.30AM 9.50AM 10.10AM 10.30AM 10.50AM 11.10AM 11.30AM 11.50AM 12.10PM 1.00PM 1.20PM 1.40PM 2.00PM 2.20PM 2.40PM 4.20PM 4.40PM 5.00PM 5.20PM 5.40PM 6.00PM 6.20PM 6.40PM 7.00PM 7.20PM 7.40PM 8.00PM
 BHEKRAINAGAR,CHINCHAWDGAON,5.00AM 5.20AM 5.40AM 6.00AM 6.15AM 6.30AM 6.45AM 7.00AM 7.15AM 7.30AM 7.45AM 8.00AM 8.15AM 8.30AM 8.45AM 9.05AM 9.15AM 9.25AM 9.35AM 9.45AM 10.05AM 10.25AM 10.45AM 11.00AM 11.15AM 11.30AM 11.45AM 12.00PM 12.15PM 12.30PM 12.45PM 1.00PM 1.20PM 1.40PM 2.00PM 2.20PM 2.45PM 3.00PM 3.15PM 3.30PM 3.45PM 4.00PM 4.15PM 4.30PM 4.45PM 5.00PM 5.15PM 5.30PM 5.50PM 6.10PM 6.30PM 6.40PM 6.50PM 7.00PM 7.15PM 7.30PM 7.45PM 8.00PM 8.15PM 8.30PM 8.45PM 9.00PM 9.15PM 9.30PM 9.45PM 10.05PM
 CHINCHAWDAGAON,BHEKRAINAGAR, 7.00AM 7.20AM 7.40AM 7.55AM 8.15AM 8.30AM 8.40AM 8.55AM 9.15AM 9.30AM 9.45AM 10.00AM 10.10AM 10.30AM 10.45AM 11.00AM 11.15AM 11.25AM 11.35AM 11.45AM 12.05PM 12.20PM 12.45PM 1.00PM 1.20PM 1.35PM 1.50PM 2.05PM 2.25PM 2.35PM 2.50PM 3.05PM 3.20PM 3.40PM 4.00PM 4.20PM 4.40PM 4.55PM 5.10PM 5.25PM 5.40PM 5.55PM 6.10PM 6.25PM 6.40PM 6.55PM 7.10PM 7.35PM 7.50PM 8.15PM 8.35PM 8.45PM 8.55PM 9.05PM 9.15PM 9.25PM 9.45PM 10.00PM 10.10PM 10.30PM 10.40PM 10.50PM 11.05PM 11.30PM 11.45PM 12.00AM
 SWARGATE,SASWAD ,6.05AM 6.45AM 7.10AM 7.45AM 8.25AM 9.05AM 9.40AM 10.35AM 11.20AM 12.00PM 3.45PM 4.20PM 5.00PM 5.30PM 6.15PM 7.40PM 8.20PM
 SASWAD,SWARGATE, 7.30AM 8.10AM 8.40AM 9.15AM 9.50AM 10.35AM 11.15AM 4.00PM 4.40PM 5.30PM 6.00PM 6.35PM 8.00PM
 SASWAD,HADAPSAR, 12.30PM 1.20PM 8.50PM 10.15PM
 HADAPSAR,SASWAD, 5.45AM 6.20AM 6.50AM 7.35AM 2.45PM 3.30PM 4.00PM 10.30PM
 HADAPSAR,SASWAD, 5.25AM 6.00AM 6.30AM 6.40AM 7.00AM 7.10AM 7.25AM 7.45AM 7.55AM 8.05AM 8.25AM 8.40AM 8.50AM 9.15AM 9.25AM 9.35AM 9.55AM 10.00AM 10.05AM 10.15AM 10.40AM 11.00AM 11.20AM 11.40AM 12.00PM 12.20PM 12.40PM 1.10PM 1.30PM 2.00PM 2.10PM 2.20PM 2.40PM 3.10PM 3.20PM 3.50PM 4.10PM 4.20PM 4.30PM 4.45PM 4.55PM 5.05PM 5.15PM 5.40PM 5.55PM 6.10PM 6.30PM 6.30PM 6.45PM 7.20PM 8.00PM 8.20PM 8.40PM 9.00PM 9.30PM 10.00PM
SASWAD,HADAPSAR, 5.50AM 6.25AM 7.00AM 7.30AM 7.55AM 8.05AM 8.15AM 8.35AM 8.45AM 8.55AM 9.15AM 9.30AM 9.50AM 10.05AM 10.20AM 10.45AM 11.00AM 11.10AM 11.30AM 11.40AM 11.50AM 12.15PM 12.40PM 12.55PM 1.10PM 1.30PM 1.50PM 2.10PM 2.25PM 2.45PM 3.00PM 3.15PM 3.30PM 3.55PM 4.05PM 4.30PM 4.50PM 5.10PM 5.20PM 5.40PM 5.50PM 6.00PM 6.20PM 6.40PM 6.55PM 7.15PM 7.50PM 8.00PM 8.10PM 8.30PM 9.00PM 9.40PM 9.55PM 10.25PM 10.35PM 11.00PM
 SASWAD,MANAPA, 8.15AM
 MANAPA,SASWAD, 10.00AM 6.30PM
 HADAPSAR,NARAYANPUR, 7.05AM 7.20AM 7.35AM 7.50AM 8.05AM
 NARAYANPUR,HADAPSAR, 5.30PM 5.45PM 6.00PM 6.15PM 6.30PM
 NARAYANPUR,SASWAD, 8.30AM 8.45AM 9.00AM 9.15AM 9.30AM 9.40AM 9.55AM 10.10AM 10.25AM 10.40AM 10.50AM 11.05AM 11.20AM 11.35AM 11.50AM 12.00PM 12.15PM 12.30PM 12.45PM 1.00PM 3.10PM 3.25PM 3.40PM 3.55PM 4.10PM 4.20PM 4.35PM 4.50PM 5.05PM 5.20PM
 SASWAD,NARAYANPUR,9.05AM 9.20AM 9.40AM 9.50AM 10.05AM 10.15AM 10.25AM 10.45AM 11.00AM 11.15AM 11.25AM 11.40AM 11.55AM 12.10PM 12.30PM 2.35PM 2.50PM 3.05PM 3.20PM 3.40PM 3.50PM 4.00PM 4.15PM 4.25PM 4.45PM 4.55PM 5.10PM 5.25PM 5.40PM 5.55PM
 BHEKRAINAGAR,HINJEWADI, 5.50AM 6.55AM 7.50AM 8.40AM 9.40AM 10.35AM 11.35AM 12.40PM 1.35PM 2.40PM 4.05PM 5.05PM 6.05PM 7.05PM
 HINJEWADI,BHEKRAINAGAR, 7.50AM 8.50AM 9.50AM 10.50AM 11.45AM 12.45PM 1.45PM 2.45PM 3.45PM 5.00PM 6.15PM 7.15PM 8.15PM 9.15PM
 KATRAJ,SASWAD, 5.15AM 5.35AM 5.50AM 6.10AM 6.30AM 6.50AM 07.05AM 7.25AM 7.35AM 7.50AM 8.05AM 8.20AM 8.45AM 9.00AM 9.20AM 9.40AM 10.00AM 10.20AM 10.40AM 11.00AM 11.20AM 11.40AM 12.10PM 12.25PM 12.40PM 1.00PM 1.20PM 1.40PM 2.00PM 2.20PM 2.40PM 3.00PM 3.20PM 3.40PM 3.55PM 4.05PM 4.20PM 4.40PM 5.00PM 5.20PM 5.40PM 6.00PM 6.20PM 6.40PM 7.00PM 7.20PM 7.40PM 8.00PM 8.20PM 8.55PM 8.40PM 9.05PM 9.25PM 9.55PM
 SASWAD,KATRAJ, 6.10AM 6.25AM 6.50AM 7.05AM 7.30AM 7.45AM 8.00AM 8.25AM 8.45AM 9.10AM 9.30AM 9.45AM 10.05AM 10.25AM 10.45AM 11.10AM 11.25AM 11.35AM 11.45AM 12.00PM 12.20PM 12.40PM 1.00PM 1.30PM 1.45PM 2.00PM 2.20PM 2.35PM 2.55PM 3.15PM 3.35PM 3.50PM 4.20PM 4.40PM 4.55PM 5.20PM 5.40PM 6.00PM 6.20PM 6.45PM 7.00PM 7.20PM 7.40PM 8.00PM 8.15PM 8.30PM 8.45PM 9.00PM 9.20PM 9.35PM 9.55PM 10.15PM 10.25PM 10.40PM
 KATRAJ,SASWAD (GARADE MARGE), 6.00AM 8.35AM 12.00PM 2.50PM 5.30PM
 SASWAD,KATRAJ (GARADE MARGE), 7.20AM 10.35AM 1.20PM 4.10PM 7.30PM
 SWARGATE,SASWAD, 5.45AM 7.10AM 9.20AM 6.00PM
 SASWAD,SWARGATE, 7.15AM 8.40AM 10.55AM 7.30PM
 SWARGATE,YEWALEWADI, 10.25AM 12.35PM 3.40PM 4.10PM 5.50PM 9.00PM
 YEWALEWADI,SWARGATE, 11.15AM 1.25PM 4.30PM 5.00PM 6.40PM 9.50PM
 HADAPSAR,JEJURI MIDC, 7.15AM 8.10AM 9.00AM 9.45AM 10.20AM 11.10AM 12.10PM 12.55PM 1.50PM 2.50PM 3.40PM 4.35PM 5.25PM 6.20PM 7.00PM
 JEJURI MIDC,HADAPSAR, 8.10AM 9.00AM 9.50AM 10.40AM 11.30AM 12.05PM 12.55PM 1.50PM 2.40PM 3.30PM 4.35PM 5.25PM 6.15PM 7.10PM 8.00PM
 SASWAD,URULI KANCHAN, 7.00AM 9.20AM 3.25PM 5.45PM
 URULI KANCHAN,SASWAD, 8.10AM 4.35PM
 HADAPSAR,SASWAD, 6.10AM 2.25PM
 URULI KANCHAN,HADPASR,11.05AM 7.25PM
 HADAPSAR,MORGAON, 9.05AM 3.00PM 7.40PM
 MORGAON,HADAPSAR, 6.30AM 11.10AM 5.00PM
 KATRAJ,SINHGAD COLLEGE, 7.15AM 7.40AM 8.05AM 8.30AM 9.00AM 9.30AM 10.00AM 10.30AM 11.00AM 11.30AM 11.55AM 12.25PM 3.15PM 3.45PM 4.15PM 4.45PM 5.15PM 5.45PM 6.15PM 6.45PM 7.15PM 7.45PM
 SINHGAD COLLEGE,KATRAJ, 7.40AM 8.05AM 8.30AM 9.00AM 9.30AM 10.00AM 10.30AM 11.00AM 11.30AM 12.00PM 12.25PM 12.50PM 3.45PM 4.15PM 4.45PM 5.15PM 5.45PM 6.15PM 6.45PM 7.15PM 7.45PM 8.15PM
 AMBEGAON PATHAR,SWARGATE,6.15AM 7.00AM 7.45AM 8.30AM 9.15AM 10.00AM 10.45AM 11.30AM 12.45PM 1.30PM 2.45PM 3.30PM 4.15PM 5.00PM 5.45PM 6.30PM 7.15PM 8.00PM 9.15PM 10.00PM
 SWARGATE,AMBEGAON PATHAR,7.00AM 7.45AM 8.30AM 9.15AM 10.00AM 10.45AM 11.30AM 12.15PM 1.30PM 2.15PM 3.30PM 4.15PM 5.00PM 5.45PM 6.30PM 7.15PM 8.00PM 8.45PM 10.00PM 10.45PM
 BHARATI VIDYAPEETH,SHIVAJI NAGAR,5.40AM 6.05AM 6.30AM 6.55AM 7.10AM 7.25AM 7.40AM 8.05AM 8.30AM 8.55AM 9.05AM 9.20AM 9.40AM 10.05AM 10.30AM 10.55AM 11.20AM 12.10PM 12.35PM 12.45PM 1.00PM 1.25PM 1.50PM 2.30PM 2.45PM 2.55PM 3.20PM 3.45PM 4.10PM 4.30PM 4.45PM 4.55PM 5.20PM 5.45PM 6.10PM 6.30PM 6.55PM 7.20PM 7.45PM 8.10PM 9.00PM 9.25PM 9.50PM
SHIVAJI NAGAR,BHARATI VIDYAPEETH, 6.40AM 7.05AM 7.30AM 7.55AM 8.10AM 8.20AM 8.40AM 9.05AM 9.30AM 9.55AM 10.20AM 10.30AM 10.40AM 11.05AM 11.30AM 11.55AM 12.20PM 1.10PM 1.35PM 1.45PM 2.00PM 2.25PM 2.50PM 3.30PM 3.45PM 3.55PM 4.20PM 4.45PM 5.10PM 5.30PM 5.55PM 6.15PM 6.20PM 6.45PM 7.10PM 7.30PM 7.55PM 8.20PM 8.45PM 9.10PM 10.00PM 10.25PM 10.50PM
 YAVAT,SASWAD, 7.40AM 11.25AM 3.45PM 6.35AM
 SASWAD,YAVAT, 9.50AM 5.05PM
 HADAPSAR,YAVAT, 6.15AM 2.15PM
 SASWAD,HADAPSAR, 12.50PM 8.35PM
 KHARADIGAON,HINJEWADI, 6.10AM 7.20AM 10.55AM 4.20PM 5.40PM
 HINJEWADI,KHARADIGAON, 8.15AM 9.30AM 6.35PM 8.00PM
 PUNE STATION,KHARADIGAON,5.20AM 6.30AM 3.30PM 4.50PM
 KHARADIGAON,PUNE STATION,9.25PM 10.50PM 12.10PM
 HINJEWADI,PUNE STATION,1.05PM
 DECCAN,KHARAWADE MHASOBA MANDIR, 7.15AM 11.10AM 4.30PM
 KHARAWADE MHASOBA MANDIR,DECCAN, 9.00AM 12.50PM 6.20PM
 MARKETYARD,URAWADE MARNEWADI, 5.10AM 9.10AM 2.50PM 6.55PM
 URAWADE MARNEWADI,MARKETYARD, 6.50AM 10.50AM 4.40PM 8.45PM
 MARKETYARD, KHARAWADE/LAVHARDE, 6.20AM 8.40AM 9.40AM 11.00AM 1.10PM 3.10PM 5.05PM 6.15PM 7.45PM
 LAVHARDE/KHARAWADE,MARKETYARD, 6.00AM 7.10AM 8.20AM 10.40AM 11.50AM 1.10PM 3.30PM 5.20PM 7.50PM
 KATRAJ,VADGAON MAVAL, 6.00AM 6.45AM 7.30AM 8.30AM 9.15AM 10.00AM 10.30AM 11.15AM 12.00PM 12.30PM 1.15PM 2.00PM 2.30PM 3.15PM 4.00PM 5.00PM 5.45PM 6.30PM 7.00PM
 VADGAON MAVAL,KATRAJ,6.00AM 6.45AM 7.30AM 8.00AM 8.45AM 9.30AM 10.30AM 11.15AM 12.00PM 12.30PM 1.15PM 2.00PM 2.30PM 3.15PM 4.00PM 4.30PM 5.15PM 6.00PM 7.00PM
 BALEWADI DEPO,VADGAON MAVAL, 5.00AM 5.10AM 5.45AM 6.30AM
 VADGAON MAVAL,BALEWADI DEPO,7.45PM 8.30PM 9.00PM
BALEWADI DEPO,KATRAJ, 5.55PM 6.40PM
 KATRAJ,BALEWADI DEPO, 7.45PM 8.35PM 9.00PM
MARKETYARD,KASHING GAON KAMAN, 5.30AM 3.00PM
KASHING GAON KAMAN,MARKETYARD,12.00PM 5.10PM
 KASHING GAON KAMAN,PAUDGAON, 7.40AM 10.15AM
 PAUDGAON,KASHING GAON KAMAN, 9.15AM 11.05AM
 MARKETYARD,BELAWADE, 9.50AM 2.40PM 7.35PM
 BELAWADE,MARKETYARD, 7.30AM 12.00PM 4.50PM
 MARKETYARD,PAUDGAON, 6.00AM 6.40AM 7.20AM 7.40AM 8.10AM 8.50AM 9.20AM 10.05AM 10.35AM 11.25AM 12.00PM 12.25PM 12.50PM 1.25PM 2.20PM 3.20PM 3.50PM 4.15PM 4.45PM 5.20PM 5.45PM 6.25PM 7.15PM 8.00PM 9.00PM 9.30PM
 PAUDGAON,MARKETYARD, 5.45AM 6.30AM 7.30AM 8.20AM 9.00AM 9.40AM 10.05AM 10.35AM 11.10AM 11.55AM 12.30PM 1.10PM 1.50PM 2.20PM 2.50PM 3.30PM 4.10PM 5.00PM 5.35PM 6.10PM 6.45PM 7.05PM 7.40PM 8.20PM 9.00PM 9.45PM
 MARKETYARD,KOLWANGOAN,6.10AM 7.00AM 9.00AM 10.50AM 11.40AM 2.00PM 3.40PM 4.30PM 7.00PM 8.30PM
KOLWANGOAN,MARKETYARD, 6.30AM 8.00AM 9.00AM 11.10AM 12.50PM 1.50PM 4.10PM 5.35PM 6.30PM 9.00PM
 MARKETYARD,BHADASGAON, 8.30AM 1.40PM 6.45PM
 BHADASGAON,MARKETYARD, 6.30AM 11.15AM 3.45PM
 MANAPA,KHARADIGAON, 5.25AM 5.45AM 6.05AM 6.25AM 6.35AM 6.50AM 7.10AM 7.25AM 7.45AM 8.05AM 8.25AM 8.45AM 9.05AM 9.15AM 9.35AM 9.55AM 10.15AM 10.35AM 11.00AM 11.10AM 11.25AM 11.45AM 12.05PM 12.25PM 12.45PM 1.05PM 1.35PM 1.50PM 2.25PM 2.45PM 3.05PM 3.25PM 3.45PM 4.05PM 4.25PM 4.35PM 4.55PM 5.15PM 5.35PM 5.55PM 6.15PM 6.35PM 6.55PM 7.20PM 7.35PM 8.00PM 8.20PM 8.40PM 9.00PM 9.35PM 10.05PM 10.30PM
 KHARADIGAON,MANAPA, 6.25AM 6.45AM 7.05AM 7.25AM 7.40AM 7.55AM 8.10AM 8.30AM 8.50AM 9.10AM 9.30AM 9.45AM 10.05PM 10.20AM 10.40AM 11.00AM 11.20AM 11.40AM 12.00PM 12.30PM 12.45PM 1.15PM 1.35PM 1.55PM 2.15PM 2.30PM 2.50PM 3.05PM 3.30PM 3.50PM 4.10PM 4.30PM 4.50PM 5.10PM 5.30PM 5.50PM 6.10PM 6.30PM 6.50PM 7.10PM 7.35PM 8.00PM 8.35PM 9.00PM 9.20PM 9.40PM 10.00PM 10.15PM 10.35PM 10.50PM 11.05PM 11.30PM
 KATRAJ,KHARADIGAON, 5.10AM 5.25AM 5.45AM 6.05AM 6.25AM 6.35AM 6.55AM 7.15AM 7.35AM 7.55AM 8.05AM 8.20AM 8.40AM 9.00AM 9.15AM 9.30AM 9.50AM 10.15AM 10.45AM 11.05AM 11.30AM 11.50AM 12.10PM 12.30PM 12.45PM 1.05PM 1.20PM 1.40PM 2.05PM 2.35PM 2.55PM 3.10PM 3.35PM 4.00PM 4.25PM 4.50PM 5.15PM 5.40PM 6.05PM 6.25PM 6.45PM 7.05PM 7.25PM 7.50PM 8.15PM 8.40PM 9.05PM 9.30PM 9.55PM 10.25PM
 KHARADIGAON,KATRAJ, 6.35AM 6.50AM 7.10AM 7.30AM 7.50AM 8.05AM 8.25AM 8.45AM 9.05AM 9.20AM 9.30AM 9.50AM 10.10AM 10.30AM 10.45AM 11.05AM 11.20AM 11.40AM 12.15PM 12.35PM 1.00PM 1.20PM 1.40PM 2.00PM 2.15PM 2.35PM 2.50PM 3.10PM 3.40PM 4.00PM 4.30PM 4.50PM 5.15PM 5.40PM 6.05PM 6.25PM 6.50PM 7.15PM 7.40PM 8.10PM 8.30PM 8.50PM 9.05PM 9.30PM 9.55PM 10.20PM 10.50PM 11.10PM 11.30PM 12.10AM
 WAGHOLI,KATRAJ, 5.00AM 5.40AM 6.00AM 6.35AM 7.00AM 7.25AM 8.15AM 9.00AM 9.50AM 10.15AM 10.40AM 11.05PM 11.30AM 12.20PM 1.50PM 2.40PM 3.05PM 3.30PM 3.55PM 4.20PM 5.10PM 6.00PM 6.50PM 7.15PM 7.40PM 8.05PM 8.30PM 9.20PM
 KATRAJ,WAGHOLI, 6.45AM 7.30AM 7.50AM 8.15AM 8.45AM 9.10AM 10.05AM 10.50AM 11.40AM 12.00PM 12.25PM 12.50PM 1.15PM 2.15PM 3.40PM 4.30PM 4.55PM 5.20PM 5.45PM 6.10PM 7.00PM 7.55PM 8.45PM 9.10PM 9.35PM 9.55PM 10.15PM 11.10PM
 BALEWADI,MANAPA , 5.10AM 5.30AM 5.50AM 6.10AM 6.20AM 6.30AM 6.50AM 7.10AM 7.30AM 7.50AM 8.10AM 8.30AM 8.50AM 9.10AM 9.20AM 9.40AM 9.50AM 10.00AM 10.20AM 10.40AM 11.00AM 11.20AM 11.40AM 12.00PM 12.20PM 12.40PM 1.00PM 1.20PM 1.40PM 2.00PM 2.20PM 2.40PM 3.00PM 3.20PM 3.30PM 3.40PM 4.00PM 4.20PM 4.40PM 4.55PM 5.10PM 5.30PM 5.40PM 5.50PM 6.10PM 6.30PM 6.40PM 6.50PM 7.00PM 7.20PM 7.50PM 8.10PM 8.30PM 8.50PM 9.20PM
 MANAPA,BALEWADI, 6.00AM 6.30AM 6.55AM 7.15AM 7.25AM 7.45AM 7.50AM 8.05AM 8.30AM 8.50AM 9.10AM 9.30AM 9.50AM 10.10AM 10.20AM 10.40AM 10.50AM 11.00AM 11.20AM 11.40AM 11.55AM 12.15PM 12.45PM 1.05PM 1.25PM 1.40PM 2.05PM 2.25PM 2.40PM 2.55PM 3.15PM 3.35PM 3.55PM 4.15PM 4.30PM 4.40PM 5.00PM 5.20PM 5.40PM 6.00PM 6.10PM 6.30PM 6.50PM 7.10PM 7.10PM 7.30PM 7.40PM 7.50PM 8.05PM 8.20PM 8.45PM 9.10PM 9.30PM 9.50PM 10.10PM
 BANERGAON RADHA CHOWK,MANAPA, 7.45AM 8.45AM 9.45AM 10.45AM 2.45PM 3.45PM 4.45PM 5.45PM 6.45PM
MANAPA,BANERGAON RADHA CHOWK, 8.45AM 9.45AM 10.45AM 11.45AM 3.45PM 4.45PM 5.45PM 6.45PM 7.45PM
 ALANDI,MARKALGAON, 6.30AM 7.10AM 7.50AM 8.30AM 9.10AM 9.50AM 11.00AM 11.40AM 12.20PM 1.00PM 2.40PM 3.20PM 4.00PM 4.40PM 5.20PM 6.00PM 7.10PM 7.50PM
 MARKALGAON,ALANDI, 7.10AM 7.50AM 8.30AM 9.10AM 9.50AM 10.30AM 11.40AM 12.20PM 1.00PM 1.40PM 3.20PM 4.00PM 4.40PM 5.20PM 6.00PM 6.40PM 7.20PM 8.30PM
